seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.111   	-0.862  	-0.056  	8.611   	2.532   	2.125   	0.629   	3.288   	gaze started: StoneWallROI	
0.240   	-0.204  	-0.059  	8.541   	2.532   	2.125   	0.631   	3.589   	gaze started: CanalROI	
0.337   	-0.105  	-0.157  	8.837   	2.534   	2.125   	0.634   	3.646   	-       	
0.439   	-0.173  	-0.058  	8.559   	2.535   	2.125   	0.635   	3.639   	-       	
0.527   	-0.062  	-0.506  	10.135  	2.537   	2.125   	0.637   	3.554   	-       	
0.618   	-0.072  	-0.329  	9.833   	2.538   	2.124   	0.638   	3.300   	-       	
0.717   	-28.745 	-3.052  	128.442 	2.539   	2.124   	0.638   	3.302   	gaze fixated: CanalROI	
0.818   	-48.590 	-1.665  	122.091 	2.540   	2.124   	0.639   	3.165   	gaze ended: CanalROI	
0.906   	-2.432  	0.111   	17.805  	2.539   	2.126   	0.639   	3.003   	-       	
1.006   	-12.698 	20.924  	124.102 	2.540   	2.134   	0.642   	2.898   	-       	
1.098   	-17.540 	22.308  	122.922 	2.546   	2.145   	0.644   	2.732   	-       	
1.195   	-18.132 	22.436  	122.793 	2.552   	2.152   	0.641   	2.673   	-       	
1.293   	54.027  	18.971  	113.335 	2.560   	2.152   	0.638   	2.591   	-       	
1.385   	66.580  	11.981  	109.433 	2.572   	2.151   	0.634   	2.628   	-       	
1.476   	63.804  	11.444  	111.210 	2.581   	2.151   	0.627   	2.499   	-       	
1.586   	6.636   	1.251   	5.903   	2.587   	2.151   	0.621   	2.541   	-       	
1.686   	7.627   	1.385   	5.011   	2.948   	2.198   	1.087   	2.488   	gaze started: StoneWallROI	
1.786   	7.626   	1.422   	5.007   	2.951   	2.182   	1.028   	2.597   	gaze started: TufaROI	
1.886   	2.871   	-2.195  	-4.873  	2.796   	2.142   	0.824   	0.000   	-       	
1.985   	6.123   	0.211   	3.852   	2.601   	2.126   	0.621   	2.658   	gaze started: WellROI	
2.082   	6.683   	-1.827  	6.227   	2.607   	2.109   	0.631   	2.876   	gaze started: StoneWallROI	
2.173   	4.407   	-1.103  	6.028   	2.618   	2.098   	0.644   	2.951   	-       	
2.269   	4.410   	-1.115  	5.784   	2.634   	2.092   	0.655   	2.970   	gaze started: PebblesROI	
2.372   	3.733   	-1.144  	5.216   	2.650   	2.088   	0.665   	3.134   	-       	
2.467   	3.622   	-1.162  	4.851   	2.670   	2.084   	0.679   	3.146   	-       	
2.573   	3.708   	-1.161  	4.868   	2.691   	2.081   	0.695   	3.257   	-       	
2.667   	4.177   	0.533   	-4.108  	2.709   	2.076   	0.710   	0.000   	-       	
2.774   	4.279   	0.773   	-4.138  	2.725   	2.068   	0.724   	0.000   	gaze started: StoneWallROI	
2.876   	3.415   	-1.158  	4.946   	2.736   	2.062   	0.738   	3.345   	-       	
2.984   	3.591   	-1.161  	4.883   	2.744   	2.058   	0.748   	3.422   	gaze started: PebblesROI	
3.080   	3.405   	-1.160  	4.909   	2.750   	2.056   	0.757   	3.545   	-       	
3.183   	3.564   	-1.161  	4.874   	2.754   	2.055   	0.764   	3.614   	-       	
3.273   	3.477   	-1.164  	4.820   	2.757   	2.052   	0.767   	3.639   	-       	
3.372   	3.607   	-1.162  	4.860   	2.760   	2.051   	0.768   	3.552   	-       	
3.517   	3.711   	-1.192  	4.258   	2.762   	2.050   	0.768   	3.648   	-       	
3.604   	3.834   	-1.192  	4.245   	2.766   	2.052   	0.762   	3.663   	gaze fixated: PebblesROI	
3.706   	3.787   	-1.191  	4.279   	2.767   	2.052   	0.762   	3.675   	-       	
3.808   	3.828   	-1.191  	4.264   	2.769   	2.052   	0.759   	3.643   	-       	
3.906   	3.240   	-1.176  	4.586   	2.771   	2.053   	0.757   	3.567   	-       	
4.003   	3.441   	-1.176  	4.578   	2.774   	2.054   	0.755   	3.552   	-       	
4.095   	3.471   	-1.176  	4.574   	2.775   	2.055   	0.753   	3.528   	-       	
4.189   	3.430   	-1.181  	4.482   	2.777   	2.055   	0.751   	3.576   	-       	
4.284   	3.683   	-1.148  	5.136   	2.779   	2.055   	0.749   	3.605   	-       	
4.406   	5.056   	-1.152  	5.012   	2.568   	2.351   	0.319   	3.681   	-       	
